ID,title,year,length,budget,rating,votes,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,mpaa,Action,Animation,Comedy,Drama,Documentary,Romance,Short
44,Ace Ventura: Pet Detective,1990s,86,12000000,6.2,20705,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,4.5,PG-13,0,0,1,0,0,0,0
45,Ace Ventura: When Nature Calls,1990s,90,30000000,4.9,15161,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,PG-13,0,0,1,0,0,0,0
46,Ace in the Hole,1950s,111,1821052,7.9,1097,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,24.5,,0,0,0,1,0,0,0
47,Adaptation.,2000s,114,19000000,7.9,25140,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,24.5,R,0,0,1,1,0,0,0
48,"Addams Family, The",1990s,99,38000000,6.4,11549,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,,0,0,1,0,0,0,0
49,"Adventures of Baron Munchausen, The",1980s,125,46630000,6.8,7927,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,,0,0,1,0,0,0,0
50,"Adventures of Bob & Doug McKenzie: Strange Brew, The",1980s,90,4000000,6.6,4556,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,4.5,24.5,,0,0,1,0,0,0,0
51,"Adventures of Huck Finn, The",1990s,108,6500000,5.9,1134,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,4.5,14.5,,0,0,0,1,0,0,0
52,"Adventures of Pluto Nash, The",2000s,95,100000000,3.9,2543,24.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,PG-13,1,0,1,0,0,0,0
53,"Adventures of Robin Hood, The",1930s,102,1900000,8.2,7359,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,24.5,PG,1,0,0,0,0,1,0
54,"Adventures of Rocky & Bullwinkle, The",2000s,88,76000000,4.3,4815,14.5,14.5,14.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,PG,0,1,1,0,0,0,0
55,Affliction,1990s,114,6000000,6.9,3679,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,R,0,0,0,1,0,0,0
56,After Hours,1980s,96,4500000,7.4,5630,4.5,4.5,4.5,4.5,4.5,4.5,24.5,24.5,14.5,14.5,,0,0,1,0,0,0,0
57,After the Sunset,2000s,97,58000000,6,3431,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,PG-13,1,0,1,0,0,0,0
58,"Age of Innocence, The",1990s,139,34000000,7.1,6049,4.5,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,14.5,,0,0,0,1,0,1,0
59,Agent Cody Banks,2000s,102,26000000,5.5,2655,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,4.5,4.5,PG,1,0,1,0,0,0,0
60,Agent Cody Banks 2: Destination London,2000s,100,26000000,3.8,919,14.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,PG,1,0,1,0,0,0,0
61,Air Bud,1990s,98,3000000,4.7,1276,14.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,PG,0,0,1,1,0,0,0
62,Air Force One,1990s,124,85000000,6.3,26156,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,R,1,0,0,1,0,0,0
63,Airborne,1990s,91,2600000,5.2,1047,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,14.5,,0,0,1,0,0,0,0
64,Airplane!,1980s,88,3500000,7.8,23369,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,,0,0,1,0,0,0,0
65,Airport,1970s,137,10000000,6.4,2918,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,,0,0,0,1,0,0,0
66,Airport 1975,1970s,107,3000000,4.9,1385,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,4.5,,1,0,0,1,0,0,0
67,Aladdin,1990s,90,28000000,7.6,22499,4.5,4.5,4.5,4.5,4.5,4.5,24.5,24.5,14.5,14.5,,0,1,1,0,0,0,0
68,"Alamo, The",1960s,192,12000000,6.6,2083,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,14.5,,1,0,0,1,0,0,0
69,"Alamo, The",2000s,137,95000000,5.9,3060,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,4.5,4.5,PG-13,1,0,0,1,0,0,0
70,"Alan Smithee Film: Burn Hollywood Burn, An",1990s,86,10000000,3.2,1262,34.5,14.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,R,0,0,1,0,0,0,0
71,Albino Alligator,1990s,97,5000000,6,2077,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,R,0,0,0,1,0,0,0
72,Alexander,2000s,175,150000000,5.5,11254,14.5,4.5,4.5,4.5,14.5,14.5,14.5,4.5,4.5,14.5,R,0,0,0,1,0,0,0
73,Alferd Packer: The Musical,1990s,97,125000,7,2298,4.5,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,34.5,R,0,0,1,0,0,1,0
74,Alfie,1960s,114,800000,7.1,1644,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,,0,0,1,1,0,0,0
75,Alfie,2000s,103,60000000,6,3492,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,R,0,0,1,1,0,0,0
76,Ali,2000s,165,107000000,6.4,9294,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,R,0,0,0,1,0,0,0
77,Alice,1990s,102,12000000,6.4,1706,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,,0,0,1,1,0,1,0
78,Alice Doesn't Live Here Anymore,1970s,112,85000,7.3,2231,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,,0,0,0,1,0,0,0
79,Alice in Wonderland,1950s,75,3000000,7.2,4656,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,,0,1,1,0,0,0,0
80,Alien,1970s,116,11000000,8.3,63400,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,24.5,R,0,0,0,0,0,0,0
81,Alien Nation,1980s,91,16000000,6,2171,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,,0,0,0,1,0,0,0
82,Alien: Resurrection,1990s,116,70000000,6,24358,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,R,1,0,0,0,0,0,0
83,Aliens,1980s,154,18500000,8.3,63961,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,24.5,R,1,0,0,0,0,0,0
84,Alive,1990s,127,32000000,6.7,5786,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,4.5,4.5,,1,0,0,1,0,0,0
85,All About the Benjamins,2000s,95,14000000,5.4,1250,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,4.5,4.5,R,1,0,1,0,0,0,0
86,All Quiet on the Western Front,1930s,147,1200000,8.2,6835,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,24.5,,1,0,0,1,0,0,0
87,All the President's Men,1970s,138,8500000,8,12724,4.5,4.5,4.5,4.5,4.5,4.5,14.5,34.5,24.5,14.5,,0,0,0,1,0,0,0
88,All the Pretty Horses,2000s,116,45000000,5.6,3133,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,4.5,4.5,PG-13,0,0,0,1,0,0,0
89,All the Real Girls,2000s,108,1000000,6.8,1745,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,14.5,R,0,0,0,1,0,1,0
90,Alligator,1980s,89,1000000,5.5,1032,4.5,4.5,4.5,14.5,14.5,14.5,24.5,4.5,4.5,4.5,,0,0,1,0,0,0,0
91,Almost Famous,2000s,162,60000000,8,38648,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,24.5,R,0,0,1,1,0,0,0
92,Alone in the Dark,2000s,96,20000000,2.1,2880,64.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,R,1,0,0,0,0,0,0
93,Along Came Polly,2000s,90,42000000,5.8,9785,4.5,4.5,4.5,4.5,14.5,24.5,24.5,4.5,4.5,4.5,PG-13,0,0,1,0,0,1,0
94,Along Came a Spider,2000s,104,28000000,6.1,9456,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,R,0,0,0,1,0,0,0
95,Always,1980s,106,29500000,6.2,4913,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,,0,0,0,1,0,1,0
96,Amadeus,1980s,180,18000000,8.3,36955,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,34.5,R,0,0,0,1,0,0,0
97,America's Sweethearts,2000s,102,48000000,5.8,11849,4.5,4.5,4.5,4.5,14.5,24.5,24.5,4.5,4.5,4.5,PG-13,0,0,1,0,0,1,0
98,American Beauty,1990s,121,15000000,8.5,109991,4.5,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,34.5,R,0,0,0,1,0,0,0
99,American Gigolo,1980s,117,4800000,5.7,2469,4.5,4.5,4.5,14.5,14.5,24.5,14.5,14.5,4.5,4.5,,0,0,0,1,0,1,0
100,American Graffiti,1970s,110,777000,7.6,12758,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,,0,0,1,1,0,0,0
101,American History X,1990s,119,10000000,8.4,59677,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,24.5,R,0,0,0,1,0,0,0
102,American Me,1990s,125,16000000,6.6,697,4.5,4.5,4.5,4.5,4.5,14.5,14.5,24.5,4.5,14.5,,0,0,0,1,0,0,0
103,American Ninja 2: The Confrontation,1980s,90,350000,3.7,641,14.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,14.5,,1,0,0,1,0,0,0
104,American Outlaws,2000s,94,35000000,5.5,2878,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,14.5,PG-13,1,0,1,0,0,0,0
105,American Pie,1990s,95,11000000,6.8,41126,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,R,0,0,1,0,0,0,0
106,American Pie 2,2000s,105,30000000,6.3,22752,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,R,0,0,1,0,0,0,0
107,"American President, The",1990s,114,62000000,6.9,11834,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,PG-13,0,0,1,1,0,1,0
108,American Psycho,2000s,102,8000000,6.8,21639,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,R,0,0,0,1,0,0,0
109,American Wedding,2000s,103,55000000,6.3,13590,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,R,0,0,1,0,0,0,0
110,"American Werewolf in London, An",1980s,92,10000000,7.2,8347,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,,0,0,1,0,0,1,0
111,"American Werewolf in Paris, An",1990s,105,22000000,5,4302,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,R,0,0,1,0,0,1,0
112,"American in Paris, An",1950s,113,2723903,7.4,3736,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,,0,0,0,0,0,1,0
113,Amistad,1990s,152,40000000,7,10543,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,R,0,0,0,1,0,0,0
114,"Amityville Horror, The",2000s,90,18000000,5.8,2945,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,4.5,24.5,R,0,0,0,0,0,0,0
115,Amores perros,2000s,153,2000000,8.2,15079,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,24.5,R,0,0,0,1,0,0,0
116,Anaconda,1990s,89,45000000,4.1,10510,14.5,14.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,,1,0,0,0,0,0,0
117,"Avengers, The",1990s,89,60000000,3.4,11499,24.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,4.5,PG-13,1,0,0,0,0,0,0
118,"Aviator, The",2000s,170,116000000,7.5,16217,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,PG-13,0,0,0,1,0,0,0
119,BUtterfield 8,1960s,109,2500000,6,717,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,,0,0,0,1,0,0,0
120,Babe,1990s,89,30000000,7.4,16988,4.5,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,14.5,,0,0,1,1,0,0,0
121,Babe: Pig in the City,1990s,97,80000000,6.5,3827,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,14.5,,0,0,1,0,0,0,0
122,Baby Boy,2000s,130,16000000,6.2,1476,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,4.5,R,0,0,0,1,0,1,0
123,Baby Geniuses,1990s,97,13000000,2.4,3142,45.5,14.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,PG,0,0,1,0,0,0,0
124,Baby's Day Out,1990s,99,50000000,4.4,1856,14.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,,0,0,1,0,0,0,0
125,Bacheha-Ye aseman,1990s,89,180000,7.6,1499,4.5,4.5,4.5,4.5,4.5,4.5,4.5,24.5,24.5,34.5,,0,0,1,1,0,0,0
126,"Bachelor, The",1990s,101,21000000,5,4183,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,4.5,PG-13,0,0,1,0,0,1,0
127,Back to the Future,1980s,111,19000000,8.1,68647,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,24.5,,1,0,1,0,0,0,0
128,Back to the Future Part II,1980s,108,40000000,7,28547,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,,0,0,1,0,0,0,0
129,Back to the Future Part III,1990s,118,40000000,6.7,24682,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,4.5,,0,0,1,0,0,0,0
130,Bad Boy Bubby,1990s,112,750000,7,1033,4.5,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,34.5,,0,0,1,1,0,0,0
131,Bad Boys,1990s,118,23000000,6.4,15326,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,4.5,R,1,0,1,0,0,0,0
132,Bad Boys II,2000s,145,130000000,6.1,13087,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,14.5,R,1,0,1,0,0,0,0
133,Bad Company,2000s,116,70000000,5.4,6175,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,4.5,4.5,PG-13,1,0,1,0,0,0,0
134,Bad Santa,2000s,98,18000000,7.2,11189,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,R,0,0,1,0,0,0,0
135,"Bad Seed, The",1950s,129,1000000,7.3,1229,4.5,4.5,4.5,4.5,4.5,4.5,24.5,24.5,14.5,24.5,,0,0,0,0,0,0,0
136,Bad Taste,1980s,86,150000,6.9,7048,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,24.5,,0,0,1,0,0,0,0
137,"Bad and the Beautiful, The",1950s,118,1558000,7.6,1358,4.5,4.5,4.5,4.5,4.5,4.5,14.5,34.5,14.5,14.5,,0,0,0,1,0,0,0
138,"Badge, The",2000s,103,6000000,6.3,740,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,R,1,0,0,1,0,0,0
139,Badkonake sefid,1990s,85,150000,7.4,618,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,24.5,,0,0,0,1,0,0,0
140,Badlands,1970s,94,500000,7.7,4763,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,24.5,,0,0,0,1,0,0,0
141,Bait,2000s,119,35000000,5.6,1884,4.5,4.5,4.5,4.5,14.5,24.5,24.5,4.5,4.5,4.5,R,1,0,1,0,0,0,0
142,"Ballad of Cable Hogue, The",1970s,121,3716946,7.2,712,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,,0,0,1,0,0,0,0
143,Ballistic: Ecks vs. Sever,2000s,91,70000000,3.4,4556,24.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,4.5,R,1,0,0,0,0,0,0
144,Bamboozled,2000s,135,10000000,6.3,2356,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,14.5,R,0,0,1,1,0,0,0
145,Bananas,1970s,82,2000000,7.1,4252,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,PG-13,0,0,1,0,0,0,0
146,"Band Wagon, The",1950s,111,2169120,7.5,1207,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,24.5,,0,0,1,0,0,0,0
147,Bandits,2000s,123,80000000,6.7,12382,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,4.5,4.5,PG-13,0,0,1,1,0,1,0
148,"Banger Sisters, The",2000s,98,10000000,5.6,3189,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,4.5,4.5,R,0,0,1,1,0,0,0
149,Barbarella,1960s,98,9000000,5.6,4653,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,,0,0,0,0,0,0,0
150,Barbershop,2000s,102,12000000,6.6,4943,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,4.5,4.5,PG-13,0,0,1,1,0,0,0
151,Barbershop 2: Back in Business,2000s,106,18000000,5.7,1580,4.5,4.5,4.5,4.5,14.5,24.5,24.5,4.5,4.5,4.5,PG-13,0,0,1,0,0,0,0
152,Barcelona,1990s,101,3200000,6.6,1570,4.5,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,14.5,,0,0,1,1,0,1,0
153,Barry Lyndon,1970s,184,11000000,8,12285,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,34.5,,0,0,0,1,0,1,0
154,Barton Fink,1990s,116,9000000,7.5,10223,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,,0,0,0,1,0,0,0
155,Basic,2000s,98,50000000,6.2,8370,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,R,0,0,0,1,0,0,0
156,Basic Instinct,1990s,128,49000000,6.7,19520,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,4.5,4.5,R,0,0,0,0,0,0,0
157,Batman,1980s,126,35000000,7.4,35927,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,,1,0,0,0,0,0,0
158,Batman & Robin,1990s,125,110000000,3.6,28457,24.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,4.5,PG-13,1,0,0,0,0,0,0
159,Batman Forever,1990s,122,100000000,5.4,24025,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,4.5,PG-13,1,0,0,0,0,1,0
160,Batman Returns,1990s,126,80000000,6.5,23010,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,4.5,,1,0,0,0,0,1,0
161,Batoru rowaiaru,2000s,122,4500000,7.9,12138,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,24.5,,1,0,0,1,0,0,0
162,Batoru rowaiaru II: Rekuiemu,2000s,155,9000000,4.8,2117,4.5,4.5,14.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,,1,0,0,0,0,0,0
163,Battle Beyond the Stars,1980s,104,2000000,4.9,1059,4.5,4.5,14.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,,0,0,0,0,0,0,0
164,Battle for the Planet of the Apes,1970s,96,1800000,4.9,2335,4.5,4.5,4.5,14.5,24.5,14.5,14.5,4.5,4.5,4.5,,1,0,0,1,0,0,0
165,Battle of Britain,1960s,151,12000000,6.7,1728,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,14.5,,1,0,0,1,0,0,0
